,NAME,MIN,S,MONTH,GP,G,A,P,+/-,PIM,PPG,PPA,SHG,SHA,GWG,OTG,S%,FOW,FO,FOW%,HIT,BKS,TKA,GVA,TOI/GP
,Nathan MacKinnon,176,38,February 2025,8,4,8,12,+3,4,4,2,0,0,1,0,10.5,106,183,57.9,4,1,3,8,21:57
,Cale Makar,217,35,February 2025,8,3,7,10,+2,2,0,5,1,0,0,0,8.6,0,0,,3,11,4,14,27:05
,Nazem Kadri,165,33,February 2025,8,3,6,9,-4,2,2,3,0,0,0,0,9.1,75,145,51.7,4,5,1,5,20:34
,Alex Ovechkin,150,33,February 2025,8,7,3,10,+2,0,2,1,0,0,1,0,21.2,0,1,0.0,22,2,1,7,18:47
,Brady Tkachuk,98,33,February 2025,5,2,3,5,-5,4,2,1,0,0,0,0,6.1,6,16,37.5,10,0,4,2,19:32
,Auston Matthews,167,32,February 2025,8,1,10,11,+6,2,0,3,0,0,0,0,3.1,82,150,54.7,3,11,4,7,20:54
,Kyle Connor,154,30,February 2025,7,1,6,7,+5,2,0,0,0,0,0,0,3.3,0,0,,5,2,5,3,22:01
,Matvei Michkov,116,27,February 2025,7,5,5,10,+5,0,1,0,0,0,0,0,18.5,3,4,75.0,1,6,0,4,16:33
,Alex DeBrincat,145,27,February 2025,8,6,6,12,+2,2,1,3,0,0,1,1,22.2,4,8,50.0,5,5,3,9,18:07
,Kevin Fiala,169,27,February 2025,8,7,2,9,+5,2,1,0,0,0,2,0,25.9,0,4,0.0,3,2,3,10,21:07
,Thomas Chabot,165,26,February 2025,7,1,4,5,-1,4,0,0,0,0,0,0,3.8,0,0,,5,15,1,3,23:38
,MacKenzie Weegar,201,26,February 2025,8,0,7,7,+1,4,0,5,0,0,0,0,0.0,0,1,0.0,17,18,2,12,25:07
,Alex Laferriere,153,26,February 2025,8,2,1,3,+3,0,0,0,0,0,0,0,7.7,2,8,25.0,10,5,0,2,19:10
,Filip Forsberg,147,25,February 2025,8,4,1,5,-3,8,1,1,0,0,1,0,16.0,0,1,0.0,18,5,5,15,18:23
,Trevor Moore,141,25,February 2025,8,5,1,6,+7,0,1,0,0,0,0,0,20.0,0,0,,4,4,2,7,17:39
,Warren Foegele,130,25,February 2025,8,5,3,8,+8,0,0,0,0,0,1,0,20.0,3,9,33.3,6,4,2,9,16:16
,Jared McCann,114,24,February 2025,7,1,2,3,+1,4,0,0,0,0,1,0,4.2,6,14,42.9,7,1,2,4,16:13
,Alex Tuch,114,24,February 2025,6,5,4,9,+1,6,1,1,0,1,1,0,20.8,6,8,75.0,8,11,0,8,19:00
,Martin Necas,180,24,February 2025,8,3,5,8,+4,2,1,3,0,0,2,0,12.5,0,1,0.0,8,1,3,9,22:27
,Rickard Rakell,165,24,February 2025,8,2,4,6,-5,0,0,0,0,0,0,0,8.3,10,18,55.6,10,6,4,7,20:40
,Brayden Point,151,24,February 2025,8,3,5,8,+5,0,1,2,0,0,0,0,12.5,64,114,56.1,9,6,2,1,18:54
,Pavel Dorofeyev,119,23,February 2025,7,2,1,3,-4,8,0,1,0,0,0,0,8.7,0,4,0.0,4,1,1,3,17:02
,Jakob Chychrun,179,23,February 2025,8,4,2,6,+2,6,1,1,0,0,2,0,17.4,0,0,,2,11,2,8,22:21
,Artemi Panarin,175,23,February 2025,9,2,5,7,-3,0,1,2,0,0,0,0,8.7,0,0,,2,2,2,14,19:26
,Jake Sanderson,170,23,February 2025,7,3,4,7,-2,4,2,1,0,1,0,0,13.0,0,0,,5,17,3,6,24:17
